instant,date,year,season,month,weekday,holiday,workday,weathersit,temp,atemp,humidity,windspeed,casual,registered,cnt
1,2011/1/1,2011,1,1,6,0,0,2,14.11,18.18,80.58,5.94,331,654,985
2,2011/1/2,2011,1,1,0,0,0,2,14.9,17.69,69.61,9.2,131,670,801
3,2011/1/3,2011,1,1,1,0,1,1,8.05,9.47,43.73,9.19,120,1229,1349
4,2011/1/4,2011,1,1,2,0,1,1,8.2,10.61,59.04,5.93,108,1454,1562
5,2011/1/5,2011,1,1,3,0,1,1,9.31,11.46,43.7,6.92,82,1518,1600
6,2011/1/6,2011,1,1,4,0,1,1,8.38,11.66,51.83,3.31,88,1518,1606
7,2011/1/7,2011,1,1,5,0,1,2,8.06,10.44,49.87,6.24,148,1362,1510
8,2011/1/8,2011,1,1,6,0,0,2,6.77,8.11,53.58,9.87,68,891,959
9,2011/1/9,2011,1,1,0,0,0,1,5.67,5.81,43.42,13.39,54,768,822
10,2011/1/10,2011,1,1,1,0,1,1,6.18,7.54,48.29,8.26,41,1280,1321
11,2011/1/11,2011,1,1,2,0,1,2,6.93,9.57,68.64,4.52,43,1220,1263
12,2011/1/12,2011,1,1,3,0,1,1,7.08,8.02,59.95,11.27,25,1137,1162
13,2011/1/13,2011,1,1,4,0,1,1,6.77,7.54,47.04,11.14,38,1368,1406
14,2011/1/14,2011,1,1,5,0,1,1,6.6,9.42,53.78,4.68,54,1367,1421
15,2011/1/15,2011,1,1,6,0,0,2,9.57,12.41,49.88,5.84,222,1026,1248
16,2011/1/16,2011,1,1,0,0,0,1,9.5,11.71,48.38,6.97,251,953,1204
17,2011/1/17,2011,1,1,1,1,0,2,7.21,8.84,53.75,7.18,117,883,1000
18,2011/1/18,2011,1,1,2,0,1,2,8.88,11.62,86.17,5.43,9,674,683
19,2011/1/19,2011,1,1,3,0,1,2,11.98,14.92,74.17,7.71,78,1572,1650
20,2011/1/20,2011,1,1,4,0,1,2,10.73,12.75,53.83,7.25,83,1844,1927
21,2011/1/21,2011,1,1,5,0,1,1,7.28,7.89,45.71,13.07,75,1468,1543
22,2011/1/22,2011,1,1,6,0,0,1,2.42,3.95,40,6.36,93,888,981
23,2011/1/23,2011,1,1,0,0,0,1,3.96,4.94,43.65,9.12,150,836,986
24,2011/1/24,2011,1,1,1,0,1,1,3.99,5.9,49.17,5.86,86,1330,1416
25,2011/1/25,2011,1,1,2,0,1,2,9.16,11.73,61.7,4.8,186,1799,1985
26,2011/1/26,2011,1,1,3,0,1,3,8.92,10.18,86.25,10.87,34,472,506
27,2011/1/27,2011,1,1,4,0,1,1,8,10.99,68.75,4.21,15,416,431
28,2011/1/28,2011,1,1,5,0,1,2,8.34,11.17,79.3,4.56,38,1129,1167
29,2011/1/29,2011,1,1,6,0,0,1,8.06,10.61,65.17,5.38,123,975,1098
